#Name,Date,Ra,Dec,RaDeg,DecDeg,AlertMag,HistoricMag,HistoricStdDev,Class,PubDate,Comment,TNSid,K_s,lDeg,bDeg,base_gmag,e_gmag,Catalog,Can,Stat
Gaia21crk,2021-06-01 20:03:10,20:13:08.18,14:56:35.77,303.28408,14.94327,16.11,16.42,0.09,-,2021-06-05 10:37:03,"slow rise in the Galactic Plane source, 0.3 mag in 4 years",2021ouh,13.891,55.8731,-10.51533,17.3278,0.0098,panstarr,-1.0,0.0
Gaia21cre,2021-06-02 16:56:32,08:27:01.03,-15:08:16.80,126.7543,-15.138,18.42,18.92,0.11,-,2021-06-04 08:13:13,~0.4 mag rise in Gaia and WISE source,2021opr,nan,237.88714,13.23293,18.8456,0.0522,panstarr,-1.0,0.0
Gaia21crd,2021-06-02 20:39:05,20:13:09.31,-18:17:16.84,303.28878,-18.28801,17.49,17.8,0.07,-,2021-06-04 08:13:04,"~0.3 mag rise in Gaia, WISE and GALEX source",2021opq,15.555,24.73622,-25.97926,17.9765,0.0066,panstarr,-1.0,0.0
Gaia21cqs,2021-06-01 23:16:44,08:07:46.59,07:13:32.52,121.94413,7.2257,18.68,19.28,0.13,-,2021-06-03 08:57:32,"~0.3 mag rise in Gaia, WISE and GALEX source",2021oie,nan,215.12882,20.24509,19.4296,0.0164,panstarr,-1.0,0.0
Gaia21cqi,2021-06-01 04:31:38,08:08:36.51,-40:53:23.89,122.15211,-40.88997,13.82,14.38,0.04,-,2021-06-02 11:31:54,0.6 mag rise on Gaia source -- candidate Be-syat or microlensing event.,2021odu,11.895,257.23985,-4.37027,14.877,0.244,APASS,-1.0,0.0
Gaia21cqe,2021-06-01 01:44:55,20:04:12.01,31:24:01.91,301.05004,31.40053,15.31,15.69,0.11,-,2021-06-02 11:31:17,0.4 mag rise in red Gaia source,2021odr,12.585,68.74906,0.02467,16.291,0.064,APASS,-1.0,0.0
Gaia21cqb,2021-05-31 01:51:10,19:45:39.93,25:09:07.20,296.41636,25.152,17.15,17.36,0.03,-,2021-06-02 11:30:09,~0.2 mag rise in Galactic plane source,2021odp,13.964,61.29273,0.28425,18.9453,0.0034,panstarr,-1.0,0.0
Gaia21cpx,2021-05-31 00:11:56,07:56:35.78,63:56:53.63,119.14908,63.94823,17.86,18.41,0.11,-,2021-06-02 11:28:47,~0.6 mag rise in Gaia source,2021odl,nan,152.48805,31.28465,18.1588,0.0364,panstarr,-1.0,0.0
Gaia21cpw,2021-05-30 07:08:15,19:12:54.24,63:32:43.22,288.22599,63.54534,18.67,19.12,0.1,-,2021-06-02 11:28:36,0.3 mag rise in Gaia and GALEX source,2021odk,nan,94.39955,21.78687,19.6495,0.0123,panstarr,-1.0,0.0
Gaia21cpu,2021-05-30 01:02:09,07:39:28.99,09:23:55.36,114.8708,9.39871,17.73,18.17,0.12,-,2021-06-02 11:28:09,0.4 mag rise in Gaia source,2021odi,15.49,209.86398,14.9033,18.3608,0.0049,panstarr,-1.0,0.0
Gaia21cpm,2021-05-28 09:58:42,05:36:20.21,-69:13:46.78,84.08421,-69.22966,16.63,17.25,0.17,-,2021-05-30 11:59:04,"0.7 mag rise in Gaia source near LMC, previous event seen",2021nww,15.415,279.64507,-31.86573,16.85,nan,refcat2,-1.0,0.0
Gaia21cpl,2021-05-28 22:06:44,19:28:24.14,-04:02:32.89,292.10059,-4.04247,18.43,19.97,0.42,-,2021-05-30 10:34:45,2 mag rise in Gaia source,2021nwv,nan,33.53151,-10.0619,20.783,0.0678,panstarr,-1.0,0.0
Gaia21cpi,2021-05-28 21:57:22,05:48:26.88,-72:17:19.39,87.11199,-72.28872,18.34,19.2,0.08,-,2021-05-30 10:33:46,0.8 mag rise in Gaia and GALEX source,2021nws,nan,283.06132,-30.52091,19.194,nan,refcat2,-1.0,0.0
Gaia21cox,2021-05-28 03:57:32,05:20:42.59,-69:30:54.47,80.17747,-69.51513,13.93,14.43,0.1,-,2021-05-30 10:31:32,0.5 mag rise in Gaia source in LMC,2021nwk,14.24,280.2391,-33.17881,14.351,nan,refcat2,-1.0,0.0
Gaia21cow,2021-05-28 10:00:45,05:47:56.14,-67:13:10.85,86.9839,-67.21968,15.77,16.01,0.06,-,2021-05-30 10:31:21,0.3 mag rise in Gaia source,2021nwj,15.258,277.18601,-30.97614,15.866,nan,refcat2,-1.0,0.0
Gaia21cov,2021-05-28 09:58:29,05:37:23.69,-69:35:26.41,84.3487,-69.59067,17.79,18.13,0.08,-,2021-05-30 10:31:04,0.3 mag rise in Gaia source near LMC,2021nwi,nan,280.05287,-31.72843,17.939,nan,refcat2,-1.0,0.0
Gaia21cog,2021-05-27 07:28:36,07:51:10.54,38:08:39.34,117.7939,38.14426,18.73,19.29,0.14,-,2021-05-29 09:32:04,Gaia source rises slowly by 0.7 mag,2021nrs,nan,181.8939,27.51746,19.365,0.0282,panstarr,-1.0,0.0
Gaia21coc,2021-05-26 00:45:25,06:58:07.47,-01:41:04.88,104.53112,-1.68469,18.29,18.89,0.12,-,2021-05-28 09:32:31,0.7 mag rise on Gaia source in the Galactic plane,2021noa,13.229,215.19363,0.71883,20.937,0.0682,panstarr,-1.0,0.0
Gaia21cnw,2021-05-24 14:00:30,18:35:39.70,08:43:07.39,278.91541,8.71872,15.8,16.14,0.08,-,2021-05-27 17:26:13,Galactic plane source rises by 0.3 mag,2021nnf,13.059,38.94703,7.4481,17.144,0.0064,panstarr,-1.0,0.0
Gaia21cnn,2021-05-23 20:20:12,19:06:34.30,-10:00:33.05,286.64292,-10.00918,18.64,19.15,0.18,-,2021-05-27 15:56:03,"Faint Gaia source near the Galactic plane rises by 0.5 mag, candidate microlensing event",2021nmv,nan,25.67917,-7.87922,20.0169,0.0239,panstarr,-1.0,0.0
Gaia21cmx,2021-05-24 14:47:58,19:59:47.42,-35:05:13.63,299.9476,-35.08712,18.48,18.95,0.1,-,2021-05-26 08:18:17,Gaia source rises slowly by 0.4 mag,2021njw,nan,5.73355,-28.43114,18.904,nan,refcat2,-1.0,0.0
Gaia21cmw,2021-05-25 01:17:34,07:42:45.81,29:19:58.19,115.69087,29.33283,18.83,19.19,0.07,-,2021-05-26 08:18:04,Gaia source rises slowly by 0.3 mag,2021njv,nan,190.68453,23.3089,19.3689,0.0328,panstarr,-1.0,0.0
Gaia21cmh,2021-05-22 15:52:16,03:23:04.60,-52:16:45.66,50.76917,-52.27935,18.73,19.74,0.2,-,2021-05-23 18:16:05,~0.9 mag rise in Gaia source,2021ncr,nan,265.08938,-52.2125,nan,nan,nan,-1.0,0.0
Gaia21cln,2021-05-20 20:48:10,20:46:32.95,-34:13:18.12,311.6373,-34.2217,18.83,19.49,0.14,-,2021-05-22 10:59:04,~0.6 mag rise in Gaia source,2021mxf,nan,9.174,-37.64142,nan,nan,nan,-1.0,0.0
Gaia21ckj,2021-05-18 02:05:29,18:53:23.02,-01:14:06.47,283.3459,-1.23513,17.46,18.67,0.07,-,2021-05-19 14:26:18,"red Gaia source in the Galactic plane brightens by 1.2 mag, candidate microlensing event",2021msh,13.522,32.05434,-0.99601,21.7088,0.1006,panstarr,-1.0,0.0
Gaia21cju,2021-05-17 02:50:01,21:51:21.90,-27:42:23.08,327.84126,-27.70641,17.15,19.09,0.23,-,2021-05-18 19:11:25,~2 mag rise in Blazar candidate,2021mre,14.385,21.34279,-50.26315,19.2315,0.0699,panstarr,-1.0,0.0
Gaia21cjf,2021-05-15 19:55:10,18:37:26.57,06:44:59.14,279.36069,6.74976,16.36,16.77,0.11,-,2021-05-17 08:54:20,Galactic plane source rises slowly by 0.4 mag,2021mou,12.824,37.37206,6.17298,18.1659,0.0077,panstarr,-1.0,0.0
Gaia21cjc,2021-05-14 08:01:43,19:16:38.74,05:19:17.33,289.16141,5.32148,18.55,20.49,0.08,-,2021-05-16 17:23:52,"red gal.plane source brightens by 1.9 mag, candidate microlensing event",2021mnb,nan,40.55052,-3.15179,22.0928,0.0125,panstarr,-1.0,0.0
Gaia21ciy,2021-05-14 08:34:41,21:24:33.41,-12:23:18.17,321.13922,-12.38838,18.11,18.39,0.04,-,2021-05-16 17:23:23,0.3 mag rise in Gaia source,2021mmx,nan,39.25579,-39.5192,18.6096,0.0111,panstarr,-1.0,0.0
Gaia21civ,2021-05-14 20:53:47,22:39:47.61,-22:29:34.66,339.94838,-22.49296,17.74,18.18,0.14,-,2021-05-16 17:23:04,long-term 0.5 mag rise in Gaia source,2020yxi,15.451,34.43828,-59.85586,17.8437,0.0081,panstarr,-1.0,0.0
Gaia21ciu,2021-05-15 02:50:30,22:22:08.28,-21:46:14.88,335.5345,-21.7708,18.84,19.39,0.13,-,2021-05-16 17:22:54,0.4 mag rise in Gaia source,2021mmv,15.148,33.60836,-55.72764,19.2609,0.0252,panstarr,-1.0,0.0
